,date,state,positive,negative,positiveIncrease,negativeIncrease,death,deathIncrease,totalTestResultsIncrease,totalTestResults,recovered,Percentage,Active Cases
7690,2020-04-15,KS,1494.0,13174.0,68,453,76.0,7,521,14668.0,0.0,13.05%,1418.0
7706,2020-04-15,NJ,71030.0,72991.0,2206,2041,4070.0,409,4247,144021.0,0.0,51.94%,66960.0
7746,2020-04-14,KS,1426.0,12721.0,50,233,69.0,7,283,14147.0,0.0,17.67%,1357.0
7762,2020-04-14,NJ,68824.0,70950.0,4240,6065,3661.0,411,10305,139774.0,0.0,41.15%,65163.0
7802,2020-04-13,KS,1376.0,12488.0,39,572,62.0,6,611,13864.0,0.0,6.38%,1314.0
7818,2020-04-13,NJ,64584.0,64885.0,2734,0,3250.0,165,2734,129469.0,0.0,100.00%,61334.0
7858,2020-04-12,KS,1337.0,11916.0,69,841,56.0,1,910,13253.0,0.0,7.58%,1281.0
7874,2020-04-12,NJ,61850.0,64885.0,3699,2843,3085.0,240,6542,126735.0,0.0,56.54%,58765.0
7914,2020-04-11,KS,1268.0,11075.0,102,827,55.0,5,929,12343.0,0.0,10.98%,1213.0
7930,2020-04-11,NJ,58151.0,62042.0,3563,3107,2845.0,324,6670,120193.0,0.0,53.42%,55306.0
7970,2020-04-10,KS,1166.0,10248.0,60,579,50.0,8,639,11414.0,0.0,9.39%,1116.0
7986,2020-04-10,NJ,54588.0,58935.0,3561,2770,2521.0,285,6331,113523.0,682.0,56.25%,51385.0
8026,2020-04-09,KS,1106.0,9669.0,60,532,42.0,4,592,10775.0,0.0,10.14%,1064.0
8042,2020-04-09,NJ,51027.0,56165.0,3590,3186,2236.0,267,6776,107192.0,0.0,52.98%,48791.0
8082,2020-04-08,KS,1046.0,9137.0,146,523,38.0,11,669,10183.0,0.0,21.82%,1008.0
8098,2020-04-08,NJ,47437.0,52979.0,3021,2421,1969.0,338,5442,100416.0,0.0,55.51%,45468.0
8138,2020-04-07,KS,900.0,8614.0,55,375,27.0,2,430,9514.0,0.0,12.79%,873.0
8154,2020-04-07,NJ,44416.0,50558.0,3326,2616,1631.0,297,5942,94974.0,0.0,55.97%,42785.0
8194,2020-04-06,KS,845.0,8239.0,98,763,25.0,3,861,9084.0,0.0,11.38%,820.0
8210,2020-04-06,NJ,41090.0,47942.0,3585,3281,1334.0,150,6866,89032.0,0.0,52.21%,39756.0
8250,2020-04-05,KS,747.0,7476.0,49,596,22.0,1,645,8223.0,0.0,7.60%,725.0
8266,2020-04-05,NJ,37505.0,44661.0,3381,3429,1184.0,126,6810,82166.0,0.0,49.65%,36321.0
8306,2020-04-04,KS,698.0,6880.0,78,426,21.0,4,504,7578.0,0.0,15.48%,677.0
8322,2020-04-04,NJ,34124.0,41232.0,4229,3624,1058.0,242,7853,75356.0,0.0,53.85%,33066.0
8362,2020-04-03,KS,620.0,6454.0,68,395,17.0,4,463,7074.0,0.0,14.69%,603.0
8378,2020-04-03,NJ,29895.0,37608.0,4305,4088,816.0,136,8393,67503.0,0.0,51.29%,29079.0
8418,2020-04-02,KS,552.0,6059.0,70,648,13.0,3,718,6611.0,0.0,9.75%,539.0
8434,2020-04-02,NJ,25590.0,33520.0,3335,3133,680.0,205,6468,59110.0,0.0,51.56%,24910.0
8474,2020-04-01,KS,482.0,5411.0,54,415,10.0,1,469,5893.0,0.0,11.51%,472.0
8490,2020-04-01,NJ,22255.0,30387.0,3559,3310,475.0,110,6869,52642.0,0.0,51.81%,21780.0
8530,2020-03-31,KS,428.0,4996.0,60,442,9.0,1,502,5424.0,0.0,11.95%,419.0
8546,2020-03-31,NJ,18696.0,27077.0,2060,1853,365.0,98,3913,45773.0,0.0,52.65%,18331.0
8586,2020-03-30,KS,368.0,4554.0,49,360,8.0,2,409,4922.0,0.0,11.98%,360.0
8602,2020-03-30,NJ,16636.0,25224.0,3250,3008,267.0,49,6258,41860.0,0.0,51.93%,16369.0
8642,2020-03-29,KS,319.0,4194.0,58,523,6.0,1,581,4513.0,0.0,9.98%,313.0
8658,2020-03-29,NJ,13386.0,22216.0,2262,2830,218.0,26,5092,35602.0,0.0,44.42%,13168.0
8698,2020-03-28,KS,261.0,3671.0,59,442,5.0,1,501,3932.0,0.0,11.78%,256.0
8714,2020-03-28,NJ,11124.0,19386.0,2299,2839,192.0,51,5138,30510.0,0.0,44.75%,10932.0
8754,2020-03-27,KS,202.0,3229.0,34,360,4.0,1,394,3431.0,0.0,8.63%,198.0
8770,2020-03-27,NJ,8825.0,16547.0,1949,2886,141.0,32,4835,25372.0,0.0,40.31%,8684.0
8810,2020-03-26,KS,168.0,2869.0,42,509,3.0,0,551,3037.0,0.0,7.62%,165.0
8826,2020-03-26,NJ,6876.0,13661.0,2474,3209,109.0,28,5683,20537.0,0.0,43.53%,6767.0
8866,2020-03-25,KS,126.0,2360.0,28,274,3.0,1,302,2486.0,0.0,9.27%,123.0
8882,2020-03-25,NJ,4402.0,10452.0,727,2127,81.0,21,2854,14854.0,0.0,25.47%,4321.0
8922,2020-03-24,KS,98.0,2086.0,16,1669,2.0,0,1685,2184.0,0.0,0.95%,96.0
8938,2020-03-24,NJ,3675.0,8325.0,831,7966,60.0,20,8797,12000.0,0.0,9.45%,3615.0
8978,2020-03-23,KS,82.0,417.0,18,0,2.0,0,18,499.0,0.0,100.00%,80.0
8994,2020-03-23,NJ,2844.0,359.0,930,32,40.0,11,962,3203.0,0.0,96.67%,2804.0
9034,2020-03-22,KS,64.0,417.0,9,0,2.0,0,9,481.0,0.0,100.00%,62.0
9050,2020-03-22,NJ,1914.0,327.0,587,33,29.0,7,620,2241.0,0.0,94.68%,1885.0
9090,2020-03-21,KS,55.0,417.0,11,0,2.0,1,11,472.0,0.0,100.00%,53.0
9106,2020-03-21,NJ,1327.0,294.0,437,30,22.0,6,467,1621.0,0.0,93.58%,1305.0
9146,2020-03-20,KS,44.0,417.0,10,0,1.0,0,10,461.0,0.0,100.00%,43.0
9162,2020-03-20,NJ,890.0,264.0,148,54,16.0,3,202,1154.0,0.0,73.27%,874.0
9202,2020-03-19,KS,34.0,417.0,18,0,1.0,0,18,451.0,0.0,100.00%,33.0
9218,2020-03-19,NJ,742.0,210.0,315,20,13.0,6,335,952.0,0.0,94.03%,729.0
9258,2020-03-18,KS,16.0,417.0,1,35,1.0,0,36,433.0,0.0,2.78%,15.0
